,Rank,Name,Team,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
111,38.0,ZWAR Oliver,,00:52.637,02:09.621,02:53.076,03:42.168,04:12.283,00:52.637,01:16.984,00:43.455,00:49.092,00:30.115,2.735,57,5.055,63,2.766,31,1.745,15,1.748,40,2.735,57,7.478,62,10.244,52,11.697,39,12.529,38
114,39.0,ESTAQUE Thomas,LAC BLANC COMMENCAL,00:52.377,02:09.120,02:53.264,03:42.045,04:12.351,00:52.377,01:16.743,00:44.144,00:48.781,00:30.306,2.475,51,4.814,58,3.455,55,1.434,10,1.939,49,2.475,51,6.977,55,10.432,55,11.574,38,12.597,39
117,40.0,PAULHAN Romain,LES GETS-INTENSE TEAM,00:52.905,02:09.553,02:53.270,03:42.682,04:12.545,00:52.905,01:16.648,00:43.717,00:49.412,00:29.863,3.003,63,4.719,56,3.028,38,2.065,20,1.496,26,3.003,63,7.41,59,10.438,56,12.211,41,12.791,40
120,41.0,GALLAGHER Kenta,,00:52.724,02:09.609,02:53.209,03:42.622,04:12.740,00:52.724,01:16.885,00:43.600,00:49.413,00:30.118,2.822,59,4.956,61,2.911,34,2.066,21,1.751,41,2.822,59,7.466,61,10.377,53,12.151,40,12.986,41
123,42.0,BRAYTON Adam,,00:52.455,02:07.613,02:48.569,03:43.188,04:12.821,00:52.455,01:15.158,00:40.956,00:54.619,00:29.633,2.553,55,3.229,22,0.267,2,7.272,78,1.266,14,2.553,55,5.47,36,5.737,12,12.717,45,13.067,42
126,43.0,RUFFIN Thibaut,COMMENCAL / VALLNORD,00:51.781,02:06.913,02:51.315,03:43.459,04:13.357,00:51.781,01:15.132,00:44.402,00:52.144,00:29.898,1.879,34,3.203,21,3.713,60,4.797,64,1.531,28,1.879,34,4.77,28,8.483,37,12.988,46,13.603,43
129,44.0,PIERRON Baptiste,VOULVOUL RACING,00:52.159,02:08.198,02:52.049,03:43.136,04:13.377,00:52.159,01:16.039,00:43.851,00:51.087,00:30.241,2.257,44,4.11,43,3.162,44,3.74,46,1.874,46,2.257,44,6.055,46,9.217,42,12.665,44,13.623,44
132,45.0,COULANGES Benoit,DORVAL AM NICOLAI,00:52.021,02:08.927,02:52.762,03:42.829,04:13.603,00:52.021,01:16.906,00:43.835,00:50.067,00:30.774,2.119,41,4.977,62,3.146,41,2.72,33,2.407,65,2.119,41,6.784,52,9.93,48,12.358,42,13.849,45
135,46.0,GREENLAND Laurie,MS MONDRAKER TEAM,00:51.171,02:05.653,02:52.095,03:43.883,04:13.801,00:51.171,01:14.482,00:46.442,00:51.788,00:29.918,1.269,14,2.553,14,5.753,78,4.441,60,1.551,29,1.269,14,3.51,11,9.263,44,13.412,47,14.047,46
138,47.0,HEATH Harry,NORCO FACTORY RACING,00:52.229,02:08.048,02:51.359,03:43.030,04:14.668,00:52.229,01:15.819,00:43.311,00:51.671,00:31.638,2.327,47,3.89,37,2.622,28,4.324,58,3.271,72,2.327,47,5.905,41,8.527,38,12.559,43,14.914,47
141,48.0,NORTON Dakotah,,00:53.562,02:10.830,02:54.665,03:44.273,04:14.723,00:53.562,01:17.268,00:43.835,00:49.608,00:30.450,3.66,70,5.339,67,3.146,41,2.261,25,2.083,52,3.66,70,8.687,68,11.833,66,13.802,49,14.969,48
144,49.0,DICKERSON Bryn,,00:51.982,02:08.755,02:53.035,03:44.460,04:14.729,00:51.982,01:16.773,00:44.280,00:51.425,00:30.269,2.08,40,4.844,59,3.591,57,4.078,52,1.902,47,2.08,40,6.612,51,10.203,51,13.989,51,14.975,49
147,50.0,GANNICOTT George,ONE VISION GLOBAL RACING,00:52.282,02:08.480,02:52.890,03:44.287,04:14.972,00:52.282,01:16.198,00:44.410,00:51.397,00:30.685,2.38,50,4.269,47,3.721,61,4.05,51,2.318,61,2.38,50,6.337,50,10.058,49,13.816,50,15.218,50
150,51.0,MULALLY Neko,GSTAAD-SCOTT,00:52.412,02:09.582,02:54.030,03:45.422,04:15.028,00:52.412,01:17.170,00:44.448,00:51.392,00:29.606,2.51,54,5.241,65,3.759,65,4.045,50,1.239,13,2.51,54,7.439,60,11.198,62,14.951,58,15.274,51
