,Name,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
71,JAUCH Jasper,00:56.100,01:42.033,02:27.168,03:19.766,03:54.173,00:56.100,00:45.933,00:45.135,00:52.598,00:34.407,4.011,61,7.065,73,6.377,79,5.848,65,3.482,70,4.011,61,11.076,69,16.198,78,22.046,73,25.487,72
72,GRAHAM Innes,00:56.807,01:39.567,02:22.484,03:21.053,03:54.515,00:56.807,00:42.760,00:42.917,00:58.569,00:33.462,4.718,72,3.892,32,4.159,49,11.819,78,2.537,50,4.718,72,8.61,52,11.514,52,23.333,76,25.829,73
73,BEER Nick,00:56.445,01:42.355,02:26.832,03:20.078,03:54.833,00:56.445,00:45.910,00:44.477,00:53.246,00:34.755,4.356,66,7.042,72,5.719,76,6.496,70,3.83,76,4.356,66,11.398,71,15.862,75,22.358,74,26.147,74
74,JORBA PRATS Guillem,00:57.391,01:43.201,02:26.971,03:20.727,03:55.246,00:57.391,00:45.810,00:43.770,00:53.756,00:34.519,5.302,77,6.942,71,5.012,69,7.006,71,3.594,72,5.302,77,12.244,74,16.001,77,23.007,75,26.56,75
75,FISCHBACH Johannes,00:53.080,01:35.022,02:21.157,03:19.675,03:59.111,00:53.080,00:41.942,00:46.135,00:58.518,00:39.436,0.991,8,3.074,15,7.377,81,11.768,77,8.511,80,0.991,8,4.065,10,10.187,33,21.955,72,30.425,76
76,VERNON Taylor,00:55.935,01:42.145,02:25.540,03:24.015,03:59.160,00:55.935,00:46.210,00:43.395,00:58.475,00:35.145,3.846,58,7.342,76,4.637,60,11.725,76,4.22,79,3.846,58,11.188,70,14.57,69,26.295,77,30.474,77
77,LEVESQUE Dylan,00:55.817,01:40.886,02:24.794,03:25.894,04:00.133,00:55.817,00:45.069,00:43.908,01:01.100,00:34.239,3.728,49,6.201,66,5.15,73,14.35,79,3.314,67,3.728,49,9.929,61,13.824,64,28.174,78,31.447,78
78,HARNSTROM Oscar,00:55.869,01:39.562,02:21.752,03:27.959,04:02.228,00:55.869,00:43.693,00:42.190,01:06.207,00:34.269,3.78,53,4.825,52,3.432,26,19.457,81,3.344,68,3.78,53,8.605,51,10.782,42,30.239,79,33.542,79
79,BERSSELAAR Tom,01:02.028,01:49.120,02:36.096,03:29.072,04:02.957,01:02.028,00:47.092,00:46.976,00:52.976,00:33.885,9.939,81,8.224,80,8.218,82,6.226,69,2.96,61,9.939,81,18.163,82,25.126,82,31.352,80,34.271,80
80,LALY Thibault,00:56.451,01:41.140,02:25.026,03:30.039,04:24.943,00:56.451,00:44.689,00:43.886,01:05.013,00:54.904,4.362,67,5.821,61,5.128,71,18.263,80,23.979,82,4.362,67,10.183,63,14.056,65,32.319,81,56.257,81
81,PEKOLL Markus,00:54.702,01:43.472,02:28.417,05:29.225,06:03.965,00:54.702,00:48.770,00:44.945,03:00.808,00:34.740,2.613,27,9.902,82,6.187,78,134.058,82,3.815,75,2.613,27,12.515,76,17.447,80,151.505,82,155.279,82
