,Rank,Name,Team,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
180,61.0,GANNICOTT George,ONE VISION GLOBAL RACING,01:15.805,02:02.890,02:25.542,02:59.931,03:33.324,01:15.805,00:47.085,00:22.652,00:34.389,00:33.393,9.052,73,5.134,66,3.087,70,6.259,63,4.044,58,9.052,73,14.186,68,16.878,67,23.137,65,24.193,61
183,62.0,GEORGES Pierre Charles,LAC BLANC COMMENCAL,01:15.517,02:03.192,02:25.572,03:00.439,03:33.851,01:15.517,00:47.675,00:22.380,00:34.867,00:33.412,8.764,71,5.724,70,2.815,65,6.737,65,4.063,59,8.764,71,14.488,69,16.908,68,23.645,67,24.72,62
186,63.0,CHAPUIS Maxime,,01:17.016,02:04.443,02:27.662,03:00.870,03:34.148,01:17.016,00:47.427,00:23.219,00:33.208,00:33.278,10.263,77,5.476,68,3.654,75,5.078,57,3.929,57,10.263,77,15.739,71,18.998,72,24.076,69,25.017,63
189,64.0,GALLAGHER Kenta,,01:15.184,02:00.773,02:21.743,02:53.881,03:34.471,01:15.184,00:45.589,00:20.970,00:32.138,00:40.590,8.431,69,3.638,45,1.405,22,4.008,37,11.241,76,8.431,69,12.069,62,13.079,55,17.087,49,25.34,64
192,65.0,EVANS Craig,,01:14.977,02:07.425,02:29.958,03:03.094,03:35.276,01:14.977,00:52.448,00:22.533,00:33.136,00:32.182,8.224,67,10.497,78,2.968,68,5.006,53,2.833,47,8.224,67,18.721,77,21.294,77,26.3,70,26.145,65
195,66.0,MCGLONE Fraser,NORCO FACTORY RACING,01:14.568,02:01.455,02:25.114,03:00.694,03:35.345,01:14.568,00:46.887,00:23.659,00:35.580,00:34.651,7.815,66,4.936,65,4.094,78,7.45,70,5.302,66,7.815,66,12.751,66,16.45,66,23.9,68,26.214,66
198,67.0,VERNASSA Gianluca,AB DEVINCI ITALY,01:17.414,02:05.624,02:28.077,03:03.693,03:37.182,01:17.414,00:48.210,00:22.453,00:35.616,00:33.489,10.661,78,6.259,74,2.888,66,7.486,72,4.14,60,10.661,78,16.92,74,19.413,73,26.899,71,28.051,67
201,68.0,READING Jack,ONE VISION GLOBAL RACING,01:13.147,02:06.935,02:29.190,03:04.600,03:38.227,01:13.147,00:53.788,00:22.255,00:35.410,00:33.627,6.394,49,11.837,79,2.69,63,7.28,68,4.278,61,6.394,49,18.231,76,20.526,75,27.806,73,29.096,68
204,69.0,FIGARET Faustin,RADON MAGURA FACTORY,01:11.691,01:57.410,02:18.697,02:51.618,03:39.043,01:11.691,00:45.719,00:21.287,00:32.921,00:47.425,4.938,32,3.768,49,1.722,35,4.791,50,18.076,78,4.938,32,8.706,38,10.033,37,14.824,37,29.912,69
207,70.0,GRANDY Silas,,01:15.783,02:03.311,02:26.595,03:05.441,03:39.340,01:15.783,00:47.528,00:23.284,00:38.846,00:33.899,9.03,72,5.577,69,3.719,76,10.716,77,4.55,63,9.03,72,14.607,70,17.931,69,28.647,75,30.209,70
210,71.0,LUKASIK Slawomir,,01:12.239,01:58.476,02:21.537,03:06.524,03:39.644,01:12.239,00:46.237,00:23.061,00:44.987,00:33.120,5.486,41,4.286,57,3.496,74,16.857,81,3.771,55,5.486,41,9.772,47,12.873,54,29.73,78,30.513,71
