,Rank,Name,Team,split1,split2,split3,split4,split5,sector1,sector2,sector3,sector4,sector5,sector1Gap,sector1Rank,sector2Gap,sector2Rank,sector3Gap,sector3Rank,sector4Gap,sector4Rank,sector5Gap,sector5Rank,split1Gap,split1Rank,split2Gap,split2Rank,split3Gap,split3Rank,split4Gap,split4Rank,split5Gap,split5Rank
132,45.0,ESTAQUE Thomas,LAC BLANC COMMENCAL,01:00.412,02:27.283,02:51.217,03:18.478,03:37.359,01:00.412,01:26.871,00:23.934,00:27.261,00:18.881,4.457,45,5.81,48,1.227,28,0.596,26,3.02,74,4.457,45,10.235,46,10.717,43,11.204,43,13.663,45
135,46.0,TRUMMER David,RRP,01:00.931,02:27.897,02:51.946,03:19.624,03:37.823,01:00.931,01:26.966,00:24.049,00:27.678,00:18.199,4.976,51,5.905,49,1.342,36,1.013,45,2.338,64,4.976,51,10.849,49,11.446,44,12.35,44,14.127,46
138,47.0,LEIVSSON Isak,PROPAIN DIRT ZELVY,01:02.654,02:29.150,02:53.179,03:20.743,03:37.892,01:02.654,01:26.496,00:24.029,00:27.564,00:17.149,6.699,68,5.435,45,1.322,33,0.899,39,1.288,28,6.699,68,12.102,57,12.679,52,13.469,48,14.196,47
141,48.0,BLENKINSOP Samuel,NORCO FACTORY RACING,01:04.560,02:28.928,02:52.546,03:19.981,03:37.931,01:04.560,01:24.368,00:23.618,00:27.435,00:17.950,8.605,75,3.307,27,0.911,22,0.77,33,2.089,56,8.605,75,11.88,55,12.046,46,12.707,45,14.235,48
144,49.0,BRAYTON Adam,,00:59.752,02:25.080,02:53.093,03:21.243,03:37.999,00:59.752,01:25.328,00:28.013,00:28.150,00:16.756,3.797,36,4.267,35,5.306,77,1.485,58,0.895,15,3.797,36,8.032,36,12.593,51,13.969,50,14.303,49
147,50.0,DICKERSON Bryn,,01:01.296,02:28.441,02:52.895,03:20.808,03:38.251,01:01.296,01:27.145,00:24.454,00:27.913,00:17.443,5.341,55,6.084,52,1.747,48,1.248,52,1.582,39,5.341,55,11.393,52,12.395,49,13.534,49,14.555,50
150,51.0,GALLAGHER Kenta,,01:01.720,02:29.876,02:53.974,03:21.729,03:38.432,01:01.720,01:28.156,00:24.098,00:27.755,00:16.703,5.765,59,7.095,66,1.391,40,1.09,48,0.842,13,5.765,59,12.828,64,13.474,56,14.455,54,14.736,51
153,52.0,STRASSER Benny,RADON MAGURA FACTORY,01:01.289,02:28.429,02:53.484,03:21.456,03:38.856,01:01.289,01:27.140,00:25.055,00:27.972,00:17.400,5.334,54,6.079,51,2.348,59,1.307,54,1.539,37,5.334,54,11.381,51,12.984,54,14.182,52,15.16,52
156,53.0,CHAPMAN Rupert,BERGAMONT HAYES FACTORY TEAM,00:59.734,02:27.508,02:53.419,03:21.481,03:38.910,00:59.734,01:27.774,00:25.911,00:28.062,00:17.429,3.779,35,6.713,60,3.204,72,1.397,56,1.568,38,3.779,35,10.46,48,12.919,53,14.207,53,15.214,53
159,54.0,READING Jack,ONE VISION GLOBAL RACING,01:00.466,02:27.211,02:52.734,03:21.447,03:39.261,01:00.466,01:26.745,00:25.523,00:28.713,00:17.814,4.511,46,5.684,47,2.816,68,2.048,70,1.953,50,4.511,46,10.163,45,12.234,48,14.173,51,15.565,54
162,55.0,WRIGHT Keegan,,01:00.803,02:28.492,02:53.922,03:22.052,03:39.398,01:00.803,01:27.689,00:25.430,00:28.130,00:17.346,4.848,50,6.628,58,2.723,66,1.465,57,1.485,33,4.848,50,11.444,53,13.422,55,14.778,56,15.702,55
165,56.0,MCGLONE Fraser,NORCO FACTORY RACING,01:00.734,02:28.500,02:52.957,03:21.820,03:39.497,01:00.734,01:27.766,00:24.457,00:28.863,00:17.677,4.779,48,6.705,59,1.75,49,2.198,71,1.816,45,4.779,48,11.452,54,12.457,50,14.546,55,15.801,56
168,57.0,VARLEY Aiden,,01:02.620,02:29.832,02:55.313,03:23.673,03:39.786,01:02.620,01:27.212,00:25.481,00:28.360,00:16.113,6.665,67,6.151,53,2.774,67,1.695,64,0.252,4,6.665,67,12.784,63,14.813,64,16.399,63,16.09,57
171,58.0,EATON Timothy,,01:02.021,02:29.511,02:54.654,03:22.222,03:40.289,01:02.021,01:27.490,00:25.143,00:27.568,00:18.067,6.066,62,6.429,57,2.436,62,0.903,40,2.206,60,6.066,62,12.463,59,14.154,59,14.948,57,16.593,58
174,59.0,CAUVIN Guillaume,GIANT FACTORY OFF-ROAD TEAM,00:59.991,02:25.921,02:55.050,03:22.728,03:40.546,00:59.991,01:25.930,00:29.129,00:27.678,00:17.818,4.036,41,4.869,40,6.422,78,1.013,45,1.957,51,4.036,41,8.873,43,14.55,61,15.454,59,16.85,59
177,60.0,RUFFIN Thibaut,COMMENCAL / VALLNORD,01:01.567,02:29.547,02:54.934,03:23.154,03:40.818,01:01.567,01:27.980,00:25.387,00:28.220,00:17.664,5.612,58,6.919,62,2.68,65,1.555,60,1.803,44,5.612,58,12.499,60,14.434,60,15.88,60,17.122,60
180,61.0,GEORGES Pierre Charles,LAC BLANC COMMENCAL,01:02.577,02:29.582,02:54.263,03:22.585,03:40.986,01:02.577,01:27.005,00:24.681,00:28.322,00:18.401,6.622,66,5.944,50,1.974,53,1.657,62,2.54,68,6.622,66,12.534,61,13.763,57,15.311,58,17.29,61
183,62.0,RUFFIN Gaetan,COMMENCAL / VALLNORD,01:00.783,02:29.129,02:55.074,03:23.420,03:41.001,01:00.783,01:28.346,00:25.945,00:28.346,00:17.581,4.828,49,7.285,67,3.238,73,1.681,63,1.72,43,4.828,49,12.081,56,14.574,62,16.146,62,17.305,62
186,63.0,JAUCH Jasper,,01:01.948,02:31.802,02:56.064,03:24.010,03:41.293,01:01.948,01:29.854,00:24.262,00:27.946,00:17.283,5.993,61,8.793,72,1.555,46,1.281,53,1.422,32,5.993,61,14.754,71,15.564,66,16.736,64,17.597,63
189,64.0,CRIMMINS Thomas,,01:03.094,02:30.364,02:55.584,03:24.158,03:41.731,01:03.094,01:27.270,00:25.220,00:28.574,00:17.573,7.139,70,6.209,54,2.513,63,1.909,68,1.712,42,7.139,70,13.316,65,15.084,65,16.884,65,18.035,64
192,65.0,LALY Thibault,ADH BANSHEE TEAM,01:01.564,02:29.684,02:55.260,03:23.313,03:42.435,01:01.564,01:28.120,00:25.576,00:28.053,00:19.122,5.609,57,7.059,64,2.869,69,1.388,55,3.261,75,5.609,57,12.636,62,14.76,63,16.039,61,18.739,65
195,66.0,WILLIS Joel,,01:02.851,02:31.573,02:56.503,03:25.429,03:42.792,01:02.851,01:28.722,00:24.930,00:28.926,00:17.363,6.896,69,7.661,69,2.223,55,2.261,73,1.502,34,6.896,69,14.525,67,16.003,67,18.155,66,19.096,66
198,67.0,MCMILLAN David,,01:01.173,02:31.661,02:57.791,03:26.704,03:43.963,01:01.173,01:30.488,00:26.130,00:28.913,00:17.259,5.218,53,9.427,75,3.423,76,2.248,72,1.398,30,5.218,53,14.613,68,17.291,72,19.43,71,20.267,67
201,68.0,PROCHYRA Jordan,,01:06.625,02:34.751,02:59.258,03:26.659,03:44.179,01:06.625,01:28.126,00:24.507,00:27.401,00:17.520,10.67,77,7.065,65,1.8,51,0.736,31,1.659,40,10.67,77,17.703,76,18.758,74,19.385,70,20.483,68
204,69.0,CRIMMINS Andrew,KONA FACTORY TEAM DH,01:01.315,02:31.493,02:57.346,03:25.937,03:44.742,01:01.315,01:30.178,00:25.853,00:28.591,00:18.805,5.36,56,9.117,74,3.146,71,1.926,69,2.944,72,5.36,56,14.445,66,16.846,68,18.663,67,21.046,69
207,70.0,STEWART Neil,TRANSITION FACTORY RACING / FMD,01:02.442,02:31.708,02:57.532,03:26.069,03:44.752,01:02.442,01:29.266,00:25.824,00:28.537,00:18.683,6.487,64,8.205,71,3.117,70,1.872,67,2.822,70,6.487,64,14.66,70,17.032,70,18.795,68,21.056,70
210,71.0,WARSHAWSKY Max,,01:04.298,02:32.332,02:57.453,03:26.514,03:45.230,01:04.298,01:28.034,00:25.121,00:29.061,00:18.716,8.343,74,6.973,63,2.414,61,2.396,75,2.855,71,8.343,74,15.284,72,16.953,69,19.24,69,21.534,71
213,72.0,MCCARROLL Sean,,01:02.514,02:31.706,02:57.779,03:27.201,03:45.537,01:02.514,01:29.192,00:26.073,00:29.422,00:18.336,6.559,65,8.131,70,3.366,74,2.757,77,2.475,66,6.559,65,14.658,69,17.279,71,19.927,72,21.841,72
216,73.0,CHANUDET Quentin,,01:03.209,02:33.832,02:58.867,03:27.334,03:45.771,01:03.209,01:30.623,00:25.035,00:28.467,00:18.437,7.254,71,9.562,76,2.328,58,1.802,65,2.576,69,7.254,71,16.784,74,18.367,73,20.06,73,22.075,73
219,74.0,SANDRI Connor,,01:03.472,02:34.548,02:59.769,03:28.737,03:47.113,01:03.472,01:31.076,00:25.221,00:28.968,00:18.376,7.517,72,10.015,77,2.514,64,2.303,74,2.515,67,7.517,72,17.5,75,19.269,75,21.463,74,23.417,74
222,75.0,GRAHAM Innes,PROPAIN DIRT ZELVY,01:07.923,02:36.552,03:01.626,03:29.847,03:47.948,01:07.923,01:28.629,00:25.074,00:28.221,00:18.101,11.968,78,7.568,68,2.367,60,1.556,61,2.24,62,11.968,78,19.504,77,21.126,77,22.573,76,24.252,75
225,76.0,GARLICKI Stefan,SOLID REVERSE FACTORY RACING,01:03.724,02:33.643,02:59.769,03:29.006,03:48.730,01:03.724,01:29.919,00:26.126,00:29.237,00:19.724,7.769,73,8.858,73,3.419,75,2.572,76,3.863,77,7.769,73,16.595,73,19.269,75,21.732,75,25.034,76
228,77.0,DALE Sam,GT FACTORY RACING,01:02.109,02:29.486,02:54.422,03:33.031,03:53.750,01:02.109,01:27.377,00:24.936,00:38.609,00:20.719,6.154,63,6.316,55,2.229,56,11.944,78,4.858,78,6.154,63,12.438,58,13.922,58,25.757,77,30.054,77
231,78.0,MASTERS Edward,BERGAMONT HAYES FACTORY TEAM,01:05.707,02:45.440,03:09.961,03:38.430,03:58.134,01:05.707,01:39.733,00:24.521,00:28.469,00:19.704,9.752,76,18.672,78,1.814,52,1.804,66,3.843,76,9.752,76,28.392,78,29.461,78,31.156,78,34.438,78
